id,name,brand,family,top_notes,middle_notes,base_notes,mood_tags,valence,arousal,dominance,source
25,Dior Homme Sport,Dior,aromatic_fougere,"bergamot,blood_orange,pink_pepper","geranium,elemi,cardamom","vetiver,cedar,iso_e_super","sporty,fresh,masculine,energetic",0.629,0.554,0.554,curated
26,Dior J adore,Dior,floral,"champagne_accord,mandarin,orchid,magnolia","jasmine,lily_of_the_valley,rose","musk,sandalwood,cedar,patchouli","luminous,feminine,floral,celebratory,elegant",0.69,0.447,0.527,curated
27,Dior J adore Absolu,Dior,oriental_floral,"mandarin,bergamot","rose,jasmine,ylang_ylang,tuberose","amber,musk,civet,sandalwood","opulent,rich,feminine,golden,sensual",0.736,0.52,0.541,curated
28,Dior Addict,Dior,floral_oriental,"mandarin,bergamot,orange_blossom","rose,jasmine,madagascar_vanilla","sandalwood,vanilla,tonka_bean,musk","addictive,feminine,warm,opulent,sweet",0.784,0.454,0.457,curated
29,Dior Dolce Vita,Dior,floral_fruity,"peach,lemon,magnolia","rose,ylang_ylang,carnation,heliotrope,cedar","sandalwood,vanilla,musk,amber","italian,sweet,feminine,sunny,joyful",0.731,0.424,0.485,curated
30,Dior Escale a Portofino,Dior,citrus,"lemon,bergamot,mandarin,grapefruit,lime,yuzu,petitgrain,orange",rose,cedar,"italian,fresh,citrus,summer,light",0.807,0.69,0.399,curated
31,Guerlain Shalimar,Guerlain,oriental,"bergamot,lemon","rose,iris,jasmine","vanilla,amber,leather,frankincense,civet,opoponax","vintage,sensual,opulent,exotic,iconic",0.704,0.473,0.542,curated
32,Guerlain Mitsouko,Guerlain,floral_chypre,"bergamot,lemon,mandarin","rose,jasmine,ylang_ylang,lily_of_the_valley,iris","oakmoss,vetiver,sandalwood,musk,civet","legendary,mysterious,complex,timeless",0.716,0.497,0.51,curated
33,Guerlain L Heure Bleue,Guerlain,floral_oriental,"bergamot,lemon,coriander,anise","rose,violet,iris,heliotrope,carnation","sandalwood,benzoin,musk,vanilla","nostalgic,dreamy,twilight,feminine,complex",0.771,0.436,0.444,curated
34,Guerlain Vol de Nuit,Guerlain,oriental_fougere,"galbanum,bergamot,mandarin,lemon","rose,jasmine,orchid,iris,vetiver","sandalwood,vanilla,amber,civet,leather","aviation,freedom,mysterious,vintage",0.707,0.484,0.519,curated
35,Guerlain Mon Guerlain,Guerlain,oriental_floral,"bergamot,grapefruit","lavender,jasmine,peony","vanilla,sandalwood,white_musk,coumarin","French,romantic,soft,feminine,warm",0.776,0.467,0.429,curated
36,Guerlain Idylle,Guerlain,floral,"blackcurrant,bergamot,lemon,pink_pepper","rose,lily_of_the_valley,jasmine,peony","sandalwood,musk,vanilla,iris","romantic,floral,feminine,fresh,elegant",0.776,0.498,0.458,curated
37,Guerlain Aqua Allegoria Pera Granita,Guerlain,citrus_fruity,"pear,yuzu,bergamot","peony,rose","white_musk,cedar","fresh,summery,fruity,light,cheerful",0.757,0.497,0.458,curated
38,Guerlain Vetiver,Guerlain,woody_aromatic,"lemon,bergamot,petitgrain","tobacco,nutmeg,geranium","vetiver,sandalwood,oakmoss","classic,masculine,earthy,green,chypre",0.621,0.52,0.544,curated
39,Guerlain La Petite Robe Noire,Guerlain,fruity_floral,"black_currant,raspberry,cherry,red_berries","rose,licorice","patchouli,iris,vanilla,musk","fashion,dark_fruit,feminine,modern,iconic",0.68,0.352,0.512,curated
40,Hermes Terre d Hermes,Hermes,woody_aromatic,"orange,grapefruit","pepper,geranium,flint","vetiver,cedar,benzoin","earthy,mineral,masculine,grounded",0.68,0.505,0.495,curated
41,Hermes Eau des Merveilles,Hermes,woody_amber,"orange,pink_pepper,lemon","iris,cedar,incense","amber,vetiver,oak,lichen","mysterious,amber,mineral,elegant,feminine",0.686,0.533,0.51,curated
42,Hermes Un Jardin sur le Nil,Hermes,green_floral,"grapefruit,lotus,green_mango","peony,rose,lotus_flower","wood,incense","nile,Egypt,green,fresh,exotic",0.813,0.54,0.44,curated
43,Hermes Un Jardin en Mediterranee,Hermes,aromatic_aquatic,"lemon,cypress,mastic_tree","cedar,fig_leaf,jasmine","sandalwood,patchouli,cedar","mediterranean,fig,sunny,fresh,greek",0.62,0.47,0.572,curated
44,Hermes Un Jardin sur la Mousson,Hermes,green,"coriander,ginger,cardamom","vetiver,magnolia,grass",white_musk,"India,monsoon,green,wet,contemplative",0.644,0.49,0.512,curated
45,Hermes Kelly Caleche,Hermes,floral_chypre,"bergamot,lemon,neroli","rose,iris,jasmine,ylang_ylang","vetiver,oakmoss,sandalwood,civet","equestrian,feminine,chic,classic,french",0.699,0.488,0.53,curated
46,Hermes 24 Faubourg,Hermes,white_floral,"orange,hyacinth,peach","tuberose,iris,jasmine","sandalwood,amber,musk","white,feminine,Parisian,elegant",0.712,0.475,0.545,curated
47,Hermes Voyage d Hermes,Hermes,aromatic_woody,"grapefruit,geranium,pepper,cardamom","iris,musk,cedarwood","frankincense,amber,sandalwood","minimalist,freedom,masculine,modern",0.666,0.461,0.54,curated
48,Tom Ford Black Orchid,Tom Ford,floral_oriental,"bergamot,mandarin,black_pepper","ylang_ylang,jasmine,tuberose","patchouli,vetiver,sandalwood,vanilla","dark,sensual,mysterious,luxurious",0.664,0.52,0.548,curated
49,Tom Ford Oud Wood,Tom Ford,woody_oriental,"cardamom,chinese_pepper","oud,sandalwood,rosewood,vetiver","amber,tonka_bean","opulent,dark,masculine,luxurious,oud",0.578,0.395,0.617,curated
50,Tom Ford Tobacco Vanille,Tom Ford,oriental_spicy,"tobacco_leaf,spices","tobacco_blossom,jasmine,ginger,spices","vanilla,cocoa,dried_fruit,wood","warm,sweet,dark,masculine,cozy",0.74,0.497,0.483,curated
51,Tom Ford Neroli Portofino,Tom Ford,citrus_aromatic,"bergamot,lemon,orange,mandarin,blood_orange,neroli","neroli,rosemary,lavender,pink_pepper","amber,oakmoss,white_musk,angelica_root","italian,citrus,fresh,mediterranean,sunny",0.75,0.583,0.456,curated
52,Tom Ford Tuscan Leather,Tom Ford,leather,"raspberry,saffron","jasmine,rose,thyme","leather,amber,white_musk,suede","leather,bold,raw,powerful,Tuscan",0.599,0.45,0.644,curated
53,Tom Ford Rose Prick,Tom Ford,floral_spicy,"pink_pepper,elemi","rose_de_mai,damask_rose,rose,iris","oud,amber,musk,sandalwood,suede","thorny,rose,daring,modern,luxury",0.613,0.443,0.619,curated
54,Tom Ford Grey Vetiver,Tom Ford,woody_aromatic,"grapefruit,mandarin,orange,petitgrain","orris,sage,geranium,oakmoss","vetiver,sandalwood,amber,tonka_bean","grey,mineral,sophisticated,masculine",0.691,0.492,0.487,curated
55,Tom Ford Velvet Orchid,Tom Ford,oriental_floral,"rum,black_pepper","orchid,jasmine,rose","labdanum,sandalwood,musk,heliotrope,vanilla","velvet,orchid,opulent,feminine,nocturnal",0.665,0.427,0.562,curated
56,Tom Ford Fleur de Portofino,Tom Ford,floral,"bergamot,neroli,mandarin","jasmine,rose,iris,orange_blossom","sandalwood,musk,ambergris","italian,white_floral,sunny,feminine,airy",0.77,0.516,0.493,curated
57,Tom Ford Lost Cherry,Tom Ford,oriental_gourmand,"cherry,black_cherry,sour_cherry","turkish_rose,jasmine,almond","benzoin,tonka_bean,sandalwood,madagascar_vanilla","cherry,sweet,dark,feminine,indulgent",0.724,0.32,0.488,curated
58,Tom Ford Soleil Blanc,Tom Ford,floral_musky,"bergamot,ginger,cardamom","ylang_ylang,jasmine,peony,magnolia","sandalwood,musk,amber,heliotrope","summer,sun,white,beach,sensual",0.716,0.519,0.526,curated
59,Tom Ford Santal Blush,Tom Ford,woody_floral,"saffron,ginger,pink_pepper","rose,jasmine,ylang_ylang","sandalwood,vanilla,amber","sandalwood,blushing,warm,romantic",0.677,0.491,0.564,curated
60,Tom Ford Ombre Leather,Tom Ford,leather_floral,"cardamom,pink_pepper,violet","rose,jasmine,patchouli","leather,vetiver,oakmoss,white_musk","leather,dark,modern,edgy,unisex",0.586,0.472,0.605,curated
61,Tom Ford Cafe Rose,Tom Ford,floral_oriental,"pink_pepper,saffron","rose,turkish_rose,carnation,coffee","oud,sandalwood,patchouli,amber","coffee,rose,Turkish,oriental,opulent",0.559,0.502,0.661,curated
62,Maison Margiela Beach Walk,Maison Margiela,fresh_aquatic,"bergamot,lemon,pink_pepper","ylang_ylang,iris","coconut,cedar,white_musk,ambroxan","summery,carefree,warm,nostalgic,beach",0.729,0.526,0.473,curated
63,Maison Margiela By the Fireplace,Maison Margiela,warm_spicy,"pink_pepper,orange,clove","chestnut,guaiac_wood,jasmine","vanilla,cashmeran,white_musk","fireplace,cozy,winter,warm,sweet",0.69,0.511,0.507,curated
64,Maison Margiela Flower Market,Maison Margiela,floral_woody,"bergamot,pink_pepper,lemon","rose,peony,freesia,jasmine","sandalwood,cedar,white_musk","flower_market,fresh,spring,bright,feminine",0.74,0.517,0.491,curated
65,Maison Margiela Jazz Club,Maison Margiela,oriental_woody,"rum,blood_orange,pink_pepper","clary_sage,tobacco,vetiver","tonka_bean,vanilla,musk","jazz,nocturnal,smoky,masculine,cool",0.596,0.418,0.55,curated
66,Maison Margiela Lazy Sunday Morning,Maison Margiela,floral_musky,"bergamot,rose","rose,peony,jasmine","white_musk,sandalwood,iris","soft,cozy,morning,clean,lazy",0.76,0.43,0.5,curated
67,Maison Margiela Springtime in a Park,Maison Margiela,green_floral,"violet_leaf,bergamot,green","rose,violet,jasmine","white_musk,sandalwood","park,spring,green,fresh,bright",0.748,0.442,0.487,curated
68,Maison Margiela Under the Lemon Trees,Maison Margiela,citrus,"lemon,bergamot,yuzu","magnolia,neroli","white_musk,cedar","italian,citrus,summer,fresh,amalfi",0.769,0.561,0.414,curated
69,Maison Margiela At the Barber's,Maison Margiela,fougere,"bergamot,pink_pepper,vetiver","iris,geranium,clary_sage","tonka_bean,white_musk,sandalwood","barbershop,clean,masculine,fresh,groomed",0.682,0.441,0.491,curated
70,Byredo Gypsy Water,Byredo,fresh_woody,"bergamot,lemon,pepper","juniper,orris,pine_needles","sandalwood,vanilla,amber","nomadic,bohemian,clean,spiritual",0.774,0.478,0.426,curated
71,Byredo Bal d Afrique,Byredo,floral_woody,"lemon,bergamot,african_violet","marigold,neroli,jasmine","vetiver,musk,cedarwood,amber","african,nomadic,warm,exotic",0.73,0.543,0.503,curated
72,Byredo Blanche,Byredo,floral_musky,"pink_pepper,white_rose","peony,rose","sandalwood,white_musk","white,clean,pure,modern,Swedish",0.722,0.436,0.496,curated
73,Byredo Biblioteque,Byredo,woody_aromatic,"pink_pepper,peach","violet,peach_wood,peony","vanilla,leather,sandalwood,white_musk","library,books,cozy,intellectual,warm",0.676,0.423,0.501,curated
74,Byredo Mojave Ghost,Byredo,floral_woody,"sapodilla,magnolia","violet,sandalwood,ambrette","cedar,musk,sandalwood","desert,minimal,clean,American,sunny",0.664,0.352,0.508,curated
75,Byredo Oud Immortel,Byredo,woody_oriental,"pink_pepper,frankincense","oud,papyrus,sandalwood","black_musk,amber,vetiver","oud,dark,immortal,powerful,incense",0.51,0.404,0.679,curated
76,Byredo Accord Oud,Byredo,oriental_woody,"saffron,cedarwood","oud,patchouli,sandalwood","amber,musk","oud,arabic,dark,incense,powerful",0.484,0.42,0.714,curated
77,Byredo Pulp,Byredo,fruity,"pomegranate,black_currant,fig,pear,plum","peach,jasmine,rose","sandalwood,cedar,musk","fruity,summer,fresh,juicy,playful",0.68,0.405,0.585,curated
78,Byredo Sundazed,Byredo,woody_floral,"pink_pepper,mandarin","cyclamen,hyacinth,peach","sandalwood,musk,ambroxan","summery,optimistic,hazy,warm",0.69,0.55,0.532,curated
79,Byredo Super Cedar,Byredo,woody,"rose,pink_pepper","cedar,rose","cedar,musk,ambroxan","cedar,woody,fresh,unisex,clean",0.662,0.463,0.59,curated
80,Le Labo Santal 33,Le Labo,woody_spicy,"cardamom,iris,violet,ambrette","papyrus,sandalwood,cedarwood,leather","sandalwood,musk,amber","cult,cozy,unisex,sandalwood,American",0.619,0.419,0.583,curated
81,Le Labo Rose 31,Le Labo,floral_woody,"rose,lemon,bergamot,grapefruit","cumin,guaiac_wood,geranium,cedar","sandalwood,amber,musk","rose,masculine,modern,complex",0.708,0.513,0.497,curated
82,Le Labo Another 13,Le Labo,musky,ambrette,"ambrette,jasmine","musk,ambroxan","skin,minimal,warm,sensual,cult",0.685,0.46,0.635,curated
83,Le Labo Bergamote 22,Le Labo,citrus_aromatic,"bergamot,grapefruit,pink_pepper,neroli","cedar,musk,violet","amber,musk,galbanum","citrus,NY,fresh,clean,unisex",0.721,0.563,0.48,curated
84,Le Labo Jasmin 17,Le Labo,floral,"bergamot,lemon","jasmine,neroli","musk,amber,sandalwood","jasmine,solar,feminine,natural",0.758,0.54,0.487,curated
85,Le Labo Vetiver 46,Le Labo,woody_aromatic,"citrus,bergamot","geranium,elemi","vetiver,cedar,sandalwood,oakmoss","smoky,earthy,green,LA,unisex",0.598,0.425,0.567,curated
86,Le Labo Labdanum 18,Le Labo,oriental,"spices,tobacco","labdanum,incense","labdanum,sandalwood,musk","resinous,dark,smoky,powerful",0.435,0.355,0.71,curated
87,Le Labo Baie 19,Le Labo,green_aromatic,"bay_leaf,bergamot","bay_leaf,ginger,jasmine","sandalwood,musk,amber","mediterranean,herbal,green,fresh",0.698,0.524,0.544,curated
88,Le Labo Oud 27,Le Labo,oriental_woody,"oud,black_pepper","oud,patchouli,labdanum","amber,sandalwood,musk","oud,dark,rich,meditative,incense",0.47,0.446,0.72,curated
89,Jo Malone Peony Blush Suede,Jo Malone,floral,"mandarin,orange","rose,peony,jasmine","suede,vanilla,white_musk","soft,romantic,feminine,delicate",0.774,0.474,0.461,curated
90,Jo Malone Lime Basil Mandarin,Jo Malone,citrus_aromatic,"lime,mandarin","basil,lilac,white_thyme","amber,patchouli","fresh,british,signature,lime,herbal",0.68,0.584,0.49,curated
91,Jo Malone Wood Sage Sea Salt,Jo Malone,aromatic_aquatic,"ambrette,sea_salt",sage,"driftwood,ambrette","ocean,salt,earthy,fresh,coastal",0.5,0.5,0.5,curated
92,Jo Malone English Pear Freesia,Jo Malone,fruity_floral,"pear,melon","freesia,rose,white_musk","white_musk,patchouli,amber,rhubarb","english,pear,fresh,autumn,feminine",0.648,0.34,0.526,curated
93,Jo Malone Pomegranate Noir,Jo Malone,fruity_floral,"pomegranate,raspberry,plum","rose,pink_pepper,guaiac_wood","musk,patchouli,spicy_woods","dark,fruity,noir,dramatic,festive",0.57,0.492,0.617,curated
94,Jo Malone Oud Velvet Mood,Jo Malone,oriental_woody,"cardamom,cinnamon","oud,praline","sandalwood,amber,musk","oud,warm,festive,luxurious,british",0.594,0.496,0.646,curated
95,Jo Malone Myrrh Tonka,Jo Malone,oriental,"almond,ginger","tonka_bean,heliotrope","myrrh,benzoin","comforting,warm,sweet,spicy,Christmas",0.718,0.383,0.455,curated
96,Jo Malone Amber Lavender,Jo Malone,oriental_aromatic,"lavender,eucalyptus,mint","amber,patchouli","vetiver,amber,sandalwood","amber,lavender,warm,aromatic",0.589,0.467,0.56,curated
97,Jo Malone Nectarine Blossom Honey,Jo Malone,fruity_floral,"nectarine,cassis","peach,magnolia,white_rose","honey,vetiver,apricot","sunny,honey,feminine,fresh,fruity",0.677,0.347,0.477,curated
98,Creed Aventus,Creed,fruity_chypre,"bergamot,lemon,mandarin,grapefruit","rose,jasmine,birch,cardamom","oakmoss,ambergris,vanilla,sandalwood","confident,powerful,successful,refined",0.712,0.545,0.489,curated
99,Creed Silver Mountain Water,Creed,green_aquatic,"bergamot,mandarin,green_tea,black_currant","neroli,ginger","sandalwood,musk,ambergris","alpine,fresh,crisp,masculine",0.753,0.603,0.447,curated
100,Creed Green Irish Tweed,Creed,aromatic_fougere,"lemon,verbena","orris,sandalwood,violet_leaf","ambergris,sandalwood","green,fresh,Irish,polo,masculine",0.713,0.473,0.467,curated
101,Creed Millesime Imperial,Creed,citrus_aquatic,"bergamot,mandarin,black_currant","sea_notes,musk,iris","ambergris,sandalwood,white_musk","ocean,royal,fresh,imperial,crisp",0.756,0.48,0.442,curated
102,Creed Original Vetiver,Creed,woody_aromatic,"bergamot,grapefruit,mandarin,lemon","geranium,cardamom,vetiver,ginger","ambergris,musk,vetiver","clean,earthy,elegant,masculine",0.701,0.631,0.479,curated
103,Creed Himalaya,Creed,woody_aromatic,"bergamot,lemon,orange","geranium,jasmine,iso_e_super,sandalwood","ambergris,musk,sandalwood","mountain,clean,fresh,masculine,crisp",0.734,0.552,0.481,curated
104,Creed Viking,Creed,aromatic_woody,"bergamot,pink_pepper,grapefruit","lavender,rose,geranium,elemi","vetiver,sandalwood,oakmoss,ambergris","norse,powerful,fresh,masculine",0.664,0.521,0.525,curated
105,Creed Love in White,Creed,floral_musky,"mandarin,bergamot,rice","iris,magnolia,rose,white_musk","sandalwood,ambergris,musk,vanilla","white,pure,feminine,clean,romantic",0.776,0.43,0.43,curated
106,Creed Floralie,Creed,floral,"blackcurrant,bergamot,pink_pepper","rose,jasmine,peony","sandalwood,musk,amber","feminine,floral,garden,elegant",0.734,0.496,0.531,curated
107,Amouage Interlude Man,Amouage,oriental_woody,"oregano,bergamot,clary_sage,pink_pepper","patchouli,sandalwood,oud,cistus","frankincense,amber,leather","complex,oud,masculine,arabic,meditative",0.536,0.491,0.669,curated
108,Amouage Gold Man,Amouage,floral_oriental,"bergamot,lemon,petitgrain,frankincense","jasmine,rose,lily_of_the_valley","sandalwood,vetiver,oakmoss,civet,amber","opulent,gold,arabic,masterpiece,floral",0.681,0.462,0.538,curated
109,Amouage Reflection Man,Amouage,aromatic_floral,"bergamot,rosemary,petitgrain","geranium,iris,jasmine,neroli,rose,ylang_ylang","sandalwood,musk,vetiver","clean,reflective,classical,masculine,bright",0.712,0.491,0.52,curated
110,Amouage Epic Woman,Amouage,oriental_spicy,"black_pepper,cardamom,clary_sage,myrrh","orris,jasmine,coriander,rose,sandalwood","sandalwood,labdanum,olibanum,frankincense","epic,powerful,oriental,luxurious,complex",0.614,0.452,0.621,curated
111,Amouage Beloved Man,Amouage,aromatic_oriental,"davana,neroli,bergamot","jasmine,rose,mate,agarwood","sandalwood,amber,musk","beloved,warm,oriental,romantic",0.742,0.473,0.528,curated
112,Amouage Fate Man,Amouage,oriental_woody,"black_pepper,nutmeg,cardamom,oud","tobacco,cistus,oud","labdanum,vetiver,leather","fate,dark,smoky,oud,serious",0.421,0.53,0.766,curated
113,Amouage Honour Man,Amouage,aromatic_woody,"petitgrain,pepper,bergamot,aldehydes","iris,mate,birch,vetiver","oakmoss,cedar,leather,vetiver","honour,masculine,distinguished,fresh",0.534,0.458,0.613,curated
114,Amouage Library Opus VII,Amouage,oriental,"pink_pepper,bergamot","cistus,amber,labdanum","musk,amber,labdanum,oud","bibliophile,serious,dark,complex",0.57,0.461,0.641,curated
115,MFK Baccarat Rouge 540,MFK,floral_woody,"saffron,jasmine","ambroxan,cedar,fir_resin","white_musk,ambergris","luminous,amber,woody,seductive,cult",0.618,0.432,0.614,curated
116,MFK Baccarat Rouge 540 Extrait,MFK,floral_woody,"saffron,jasmine","ambroxan,cedar","white_musk,ambergris","intense,deep,concentrated,cult,luxury",0.618,0.432,0.614,curated
117,MFK Grand Soir,MFK,oriental,"bergamot,cardamom,saffron","amber,benzyl_benzoate","vanilla,amber,musk","grand,evening,opulent,warm,amber",0.683,0.475,0.543,curated
118,MFK Aqua Universalis,MFK,citrus_musky,"bergamot,lemon,grapefruit","lily_of_the_valley,rose,jasmine","musk,cedar,sandalwood","clean,universal,fresh,white,accessible",0.761,0.551,0.468,curated
119,MFK Oud Satin Mood,MFK,oriental_floral,"pink_pepper,davana","rose,oud,jasmine","vanilla,benzoin,musk","oud,velvety,sensual,pink,luxurious",0.68,0.448,0.575,curated
120,MFK Gentle Fluidity Gold,MFK,oriental_woody,"nutmeg,coriander,juniper","musk,vanilla,amber","oud,sandalwood,amber","fluidity,warm,golden,unisex,cozy",0.624,0.324,0.586,curated
121,MFK Amyris Femme Extrait,MFK,floral_woody,"neroli,bergamot","rose,iris","sandalwood,amyris,musk","pure,feminine,floral,luminous",0.754,0.474,0.49,curated
122,Frederic Malle Portrait of a Lady,FM,oriental_floral,"rose,blackcurrant","rose,turkish_rose,raspberry,jasmine","patchouli,musk,sandalwood,frankincense","grand,opulent,romantic,artistic,masterpiece",0.637,0.393,0.623,curated
123,Frederic Malle Carnal Flower,FM,floral,"eucalyptus,melon,ylang_ylang","tuberose,jasmine","coconut,white_musk,beeswax","tuberose,sensual,white,carnal",0.72,0.525,0.488,curated
124,Frederic Malle Musc Ravageur,FM,oriental,"bergamot,mandarin,lavender","cinnamon,cloves,ginger","vanilla,musk,amber,sandalwood","ravishing,sensual,dark,musky,iconic",0.737,0.531,0.48,curated
125,Frederic Malle En Passant,FM,floral_musky,"cucumber,wheat","white_lilac,iris","white_musk,cedar","spring,impressionist,lilac,watery,dreamy",0.698,0.377,0.445,curated
126,Frederic Malle Cologne Indelebile,FM,floral_musky,"neroli,aldehydes,cardamom","jasmine,rose,ylang_ylang","white_musk,iris","orange_blossom,white,luminous,clean",0.731,0.481,0.523,curated
127,Frederic Malle Synthetic Jungle,FM,green_woody,"basil,petitgrain,pink_pepper","clary_sage,jasmine,hedione","vetiver,cedarwood,sandalwood","jungle,green,modern,synthetic,natural",0.65,0.537,0.54,curated
128,Serge Lutens Feminite du Bois,Serge Lutens,woody_floral,"orange,plum,bergamot","rose,jasmine,ylang_ylang,violet","sandalwood,cedar,cinnamon,vanilla","feminine,woody,original,unexpected,pioneering",0.745,0.498,0.497,curated
129,Serge Lutens Ambre Sultan,Serge Lutens,oriental,"oregano,bay_leaf,coriander,myrtle","cistus,angelica,amber","sandalwood,patchouli,amber,resins","amber,warm,resinous,Moroccan,powerful",0.568,0.33,0.617,curated
130,Serge Lutens Five O Clock au Gingembre,Serge Lutens,aromatic_spicy,"ginger,petitgrain","ginger,black_pepper,tea","sandalwood,white_musk","tea_time,ginger,warm,witty,english",0.647,0.588,0.517,curated
131,Serge Lutens Arabie,Serge Lutens,oriental_spicy,"cardamom,dry_dates,mandarin","cumin,coriander,frankincense,caraway","sandalwood,amber,cedar,vanilla","arabic,dates,dry,oriental,mysterious",0.67,0.414,0.537,curated
